taxon,Leaves|leaf_size_width,Leaves|petiole_length,Leaves|distance_between_2_secondary_vein,Leaves|teeth_location_distance_from_base,Leaves|leaf_size_length,Leaves|petiole_width,Leaves|lateral_leaflet_petiolule_length
Tetrastigma_planicaule,5.70411575244632,2.2082744135228,2.31253542384721,3.40452517175483,5.70411575244632,1.28093384546206,2.61006979274201
Tetrastigma_obtectum,3.18221184049661,2.31253542384721,1.7227665977411,1.96009478404727,3.00071981506503,-0.510825623765991,-2.30258509299405
Tetrastigma_serrulatum,4.24992279404054,3.55820113047182,2.02814824729229,1.80828877117927,3.91402100809082,0.182321556793955,0.048790164169432
Cayratia_oligocarpa,5.13638649940182,3.96271611974366,2.83907846350861,2.71469474382088,4.76046307039413,0.615185639090233,1.80828877117927
Cayratia_japonica,4.65491227788291,3.87328217711172,2.02814824729229,2.6940461225047057,4.17592454921452,-0.356674943938732,-2.30258509299405
Cayratia_maritima,5.07579862000267,3.91402100809082,2.31253542384721,3.00071981506503,4.60616968632117,0.470003629245736,1.62924053973028
Cayratia_trifolia,5.01130173863942,4.17592454921452,1.80828877117927,2.71469474382088,4.65491227788291,0.0953101798043249,1.28093384546206
Cyphostemma_junceum,5.39408198853242,-2.30258509299405,2.83907846350861,4.09600984154116,5.01130173863942,0.46987221535607393,2.31253542384721
Cyphostemma_setosum,4.50092016461429,-2.30258509299405,2.71469474382088,2.57261223020711,4.50092016461429,0.46988267352361246,-2.30258509299405
Cyphostemma_adenocaule,4.57574137529728,3.52929738428947,1.7227665977411,1.1314021114911,4.24992279404054,0.470003629245736,1.96009478404727
Cayratia_geniculata,5.13638649940182,4.00914971615887,2.31253542384721,2.71469474382088,5.01130173863942,0.741937344729377,1.28093384546206
Cayratia_cardiophylla,5.95350304082086,4.9635436865624,2.97552956623647,3.18221184049661,5.62798076123992,1.22377543162212,4.01818320125654
Cayratia_triternata,5.16535723929181,3.80888224650863,1.80828877117927,1.80828877117927,4.86830338551846,0.336472236621213,0.955511445027436
Cissus_biformifolia,5.04407007018249,3.87328217711172,2.31253542384721,2.31253542384721,4.31882055877009,0.53062825106217,1.5532058709623635
Cissus_campestris,4.94235645334296,0.0953101798043249,3.04927304048202,2.94968833505258,4.60616968632117,0.0953101798043249,1.552342999873346
Cissus_alata,4.86830338551846,3.58629286533884,2.31253542384721,2.09186406167839,4.44382703557933,0.336472236621213,0.955511445027436
Cissus_verticillata,4.58598736657132,3.46885603013597,2.02814824729229,3.00071981506503,4.14472076954717,0,1.4186485554735604
Cissus_assamica,4.72827238312207,3.69137633431252,2.26176309847379,2.57261223020711,3.91402100809082,0.336472236621213,1.4941792770206166
Cissus_descoingsii,5.12455904041457,3.64021428213266,2.86789890204411,3.00071981506503,4.66438204561994,0.8754687373539,1.5489628040614687
Cissus_obovata,4.58598736657132,3.49953328238302,1.96009478404727,2.89591193827178,4.19116874685764,0.405465108108164,1.7227665977411
Cissus_fuliginea,4.86830338551846,3.99083418585244,2.31253542384721,3.00071981506503,3.87328217711172,0.470003629245736,1.5789863767696946
Cissus_paullinifolia,5.59879226079857,4.12874598893943,2.57261223020711,3.26193531432865,5.13638649940182,0.993251773010283,2.09186406167839
Cissus_cornifolia,3.87328217711172,1.52605630349505,2.09186406167839,1.88706964903238,0.741937344729377,0.0953101798043249,1.5994504276586887
Cissus_reniformis,4.94235645334296,3.91402100809082,2.45100509811232,3.40452517175483,4.60616968632117,0.470003629245736,1.5123884225689106
Cissus_quadrangularis,3.97217692824789,2.31253542384721,1.96009478404727,2.77881927199042,3.8308129500026,0.182321556793955,1.51404533828028
Cissus_antarctica,4.70138904372863,2.71469474382088,3.29953372788566,3.40452517175483,4.31882055877009,0.741937344729377,-1.8662360546938037
Cissus_trianae,3.80888224650863,3.4291367503514,1.52605630349505,2.94968833505258,3.61361696961339,-0.22314355131421,-2.30258509299405
Cissus_hypoglauca,4.86830338551846,3.28091121578765,2.31253542384721,2.77881927199042,4.94235645334296,0,2.3494686788929
Pterisanthes_polita,4.86830338551846,3.40452517175483,2.98568193770049,3.55820113047182,4.09600984154116,0.262364264467491,1.0941148156595024
Ampelocissus_gracilis,5.10655135092608,3.96271611974366,2.964672124285206,3.11794990627824,4.70138904372863,0.336472236621213,1.180979717844961
Nothocissus_spicifera,4.90601524496615,3.40452517175483,3.22286784613774,3.55820113047182,4.4320065669789,0.741937344729377,0.9980245589752761
Ampelocissus_barbata,5.52186083788357,4.65491227788291,2.909429678196152,3.249781157158677,5.17953383055807,0.7201546388100807,1.1469910313641272
Ampelocissus_abyssinica,5.58481123336301,4.9152251092916,2.909429670449576,3.249781024354579,5.14737819098275,0.7201546277273511,1.1469910281679643
Ampelocissus_africana,4.44558811616363,3.48584485572244,2.907650597950439,3.23080439573347,4.00914971615887,0.7176093383934186,1.1462567569194109
Ampelocissus_acapulcensis,5.474105153605241,4.346778818051895,2.6547157757572917,2.77881927199042,5.202467249856512,0.8649341957692072,1.722389494002492
Ampelocissus_divaricata,5.56106617245461,4.56278446949165,2.6547170396675144,2.71469474382088,5.34758360785095,0.854415328156068,2.40694510831829
Ampelocissus_javalensis,5.54165562514777,4.65491227788291,2.77881927199042,3.00071981506503,5.07579862000267,0.741937344729377,1.4996030067506887
Ampelocissus_erdwendbergiana,4.73268350628705,3.62247252191634,2.469137345292162,2.26176309847379,4.39974375547904,0.0953101798043249,0.8496890653102723
Ampelocissus_acetosa,4.68997078768056,3.60004824040732,2.5033433873845956,2.8463296158448768,4.89671976996636,0.9031197703679601,0.955511445027436
Vitis_aestivalis,5.24755024949438,4.24992279404054,2.89591193827178,3.22286784613774,4.94235645334296,0.741937344729377,0.32605067239327035
Vitis_betulifolia,4.90601524496615,3.80888224650863,2.31253542384721,3.18221184049661,4.47847253294213,0.336472236621213,-0.7441631731835668
Vitis_flexuosa,4.31882055877009,3.3357695763397,1.67709656090792,2.31253542384721,3.69137633431252,-0.22314355131421,-0.7441651246573884
Vitis_piasezkii,4.87596039076965,3.85227300102237,4.24992279404054,3.160572739167089,4.34510328056928,0.53062825106217,-2.30258509299405
Vitis_latifolia,5.42758970225218,4.66908351173174,2.85359250639287,3.46885603013597,5.06006017742378,0.559615787935423,-0.04723286468285071
Vitis_rotundifolia,4.74580131572784,3.69137633431252,2.31253542384721,3.29953372788566,4.38327585407431,-0.105360515657826,0.36671179868032405
Vitis_vinifera,4.82911341747287,3.80888224650863,2.31253542384721,2.83907846350861,4.58598736657132,0.0953101798043249,0.3370922376841912
Parthenocissus_laetevirens,5.34758360785095,4.40793801645838,2.31253542384721,4.06216566385787,4.94235645334296,0.336472236621213,1.96009478404727
Parthenocissus_dalzielii,5.29881724158969,4.44382703557933,2.09186406167839,3.932621041447015,4.38327585407431,0.0953101798043249,-2.30258509299405
Parthenocissus_vitacea,5.01130173863942,3.97217692824789,2.4932054526027,3.29953372788566,4.50092016461429,0.53062825106217,1.28093384546206
Parthenocissus_quinquefolia,5.13638649940182,4.44382703557933,2.15176220325946,3.55820113047182,4.70138904372863,0.0953101798043249,0.955511445027436
Yua_thomsonii,4.75445188870385,3.80888224650863,1.7227665977411,3.48431228837266,4.46705688385846,0.336472236621213,-1.38629436111989
Ampelopsis_glandulosa,4.35156742718917,3.18221184049661,2.2082744135228,3.00071981506503,4.05352256770185,0,-1.443572035021436
Ampelopsis_delavayana,4.61907309115708,3.44680789291421,1.88706964903238,3.1962503639807722,4.18585967105787,0.262364264467491,-2.30258509299405
Ampelopsis_cordata,5.32836148789641,4.38327585407431,2.89591193827178,3.49953328238302,4.72827238312207,0.262364264467491,-1.7395039088146773
Cissus_striata,4.58598736657132,3.52929738428947,1.80828877117927,3.00071981506503,4.4320065669789,0.0953101798043249,-0.510825623765991
Cissus_granulosa,4.09600984154116,3.16124671203156,1.80828877117927,3.0226691471593483,4.24992279404054,0.641853886172395,1.41098697371026
Cissus_simsiana,4.70138904372863,3.26193531432865,2.02814824729229,2.89591193827178,4.60616968632117,-0.105360515657826,1.1314021114911
Clematicissus_angustissima,4.748219245995411,2.71469474382088,2.195134513252786,3.0279301574954323,4.5099053710659796,0.36705674950894845,-2.30258509299405
Clematicissus_opaca,4.55492896955134,3.29953372788566,2.53369681395743,3.029100896812297,4.24992279404054,-0.105360515657826,-2.30258509299405
Nekemias_cantoniensis,4.7790872649924365,3.80888224650863,2.53369681395743,3.055879725740826,4.604789402217056,0.470003629245736,2.2082744135228
Nekemias_grossedentata,4.82510860635335,2.61739583283408,2.05027016437956,3.0582747745207386,4.69683737451392,0.361264566230267,-2.30258509299405
Rhoicissus_tridentata,4.4200447018614,3.22286784613774,1.88706964903238,3.0410366881171833,4.29182836675573,0.262364264467491,-2.30258509299405
Rhoicissus_digitata,4.17592454921452,2.8094026953625,2.2082744135228,3.04103669580174,4.22097721315547,0.262364264467491,-2.30258509299405
Leea_guineensis,6.70942628404237,4.78832472908594,2.53369681395743,3.00071981506503,6.7335209323708,2.40694510831829,2.31253542384721
