taxon,Leaves|leaf_size_width,Leaves|petiole_length,Leaves|distance_between_2_secondary_vein,Leaves|teeth_location_distance_from_base,Leaves|leaf_size_length,Leaves|petiole_width,Leaves|lateral_leaflet_petiolule_length
Ampelocissus_acapulcensis,?,?,?,2.77881927199042,?,?,?
Ampelocissus_acetosa,4.68997078768056,3.60004824040732,?,?,4.89671976996636,?,0.955511445027436
Ampelocissus_africana,4.44558811616363,3.48584485572244,?,3.23080439573347,4.00914971615887,?,?
Ampelocissus_barbata,5.52186083788357,4.65491227788291,?,?,5.17953383055807,?,?
Ampelocissus_erdwendbergiana,4.73268350628705,3.62247252191634,?,2.26176309847379,4.39974375547904,0.0953101798043249,?
Ampelocissus_javalensis,5.54165562514777,4.65491227788291,2.77881927199042,3.00071981506503,5.07579862000267,0.741937344729377,?
Vitis_latifolia,5.42758970225218,4.66908351173174,2.85359250639287,3.46885603013597,5.06006017742378,0.559615787935423,?
Ampelocissus_muelleriana,5.82923969201315,4.78832472908594,3.11794990627824,?,5.39408198853242,0.741937344729377,3.22286784613774
Ampelocissus_ochracea,5.52186083788357,4.60616968632117,3.00071981506503,3.48431228837266,5.19351225218191,1.1314021114911,?
Ampelocissus_robinsonii,?,3.26193531432865,2.4932054526027,2.2082744135228,?,0.405465108108164,?
Ampelopsis_arborea,4.86830338551846,3.00071981506503,1.96009478404727,2.53369681395743,4.78832472908594,0.182321556793955,0.300104592450338
Nekemias_cantoniensis,?,3.80888224650863,2.53369681395743,?,?,0.470003629245736,2.2082744135228
Ampelopsis_cordata,5.32836148789641,4.38327585407431,2.89591193827178,3.49953328238302,4.72827238312207,0.262364264467491,?
Ampelopsis_delavayana,4.61907309115708,3.44680789291421,1.88706964903238,?,4.18585967105787,0.262364264467491,-2.30258509299405
Ampelopsis_glandulosa,4.35156742718917,3.18221184049661,2.2082744135228,3.00071981506503,4.05352256770185,0,?
Nekemias_grossedentata,4.82510860635335,2.61739583283408,2.05027016437956,?,4.69683737451392,?,-2.30258509299405
Cayratia_cardiophylla,5.95350304082086,4.9635436865624,2.97552956623647,3.18221184049661,5.62798076123992,1.22377543162212,4.01818320125654
Cayratia_geniculata,5.13638649940182,4.00914971615887,2.31253542384721,2.71469474382088,5.01130173863942,0.741937344729377,1.28093384546206
Cayratia_japonica,4.65491227788291,3.87328217711172,2.02814824729229,?,4.17592454921452,-0.356674943938732,-2.30258509299405
Cayratia_maritima,5.07579862000267,3.91402100809082,2.31253542384721,3.00071981506503,4.60616968632117,0.470003629245736,1.62924053973028
Cayratia_oligocarpa,5.13638649940182,3.96271611974366,2.83907846350861,2.71469474382088,4.76046307039413,0.615185639090233,1.80828877117927
Cayratia_trifolia,5.01130173863942,4.17592454921452,1.80828877117927,2.71469474382088,4.65491227788291,0.0953101798043249,1.28093384546206
Cayratia_triternata,5.16535723929181,3.80888224650863,1.80828877117927,1.80828877117927,4.86830338551846,0.336472236621213,0.955511445027436
Cissus_alata,4.86830338551846,3.58629286533884,2.31253542384721,2.09186406167839,4.44382703557933,0.336472236621213,0.955511445027436
Cissus_antarctica,4.70138904372863,2.71469474382088,3.29953372788566,3.40452517175483,4.31882055877009,0.741937344729377,?
Cissus_assamica,4.72827238312207,3.69137633431252,2.26176309847379,2.57261223020711,3.91402100809082,0.336472236621213,?
Cissus_biformifolia,5.04407007018249,3.87328217711172,2.31253542384721,2.31253542384721,4.31882055877009,0.53062825106217,?
Cissus_campestris,4.94235645334296,0.0953101798043249,3.04927304048202,2.94968833505258,4.60616968632117,0.0953101798043249,?
Cissus_cornifolia,3.87328217711172,1.52605630349505,2.09186406167839,1.88706964903238,0.741937344729377,0.0953101798043249,?
Cissus_descoingsii,5.12455904041457,3.64021428213266,2.86789890204411,3.00071981506503,4.66438204561994,0.8754687373539,?
Cissus_fuliginea,4.86830338551846,3.99083418585244,2.31253542384721,3.00071981506503,3.87328217711172,0.470003629245736,?
Cissus_granulosa,4.09600984154116,3.16124671203156,1.80828877117927,?,4.24992279404054,0.641853886172395,1.41098697371026
Cissus_hypoglauca,4.86830338551846,3.28091121578765,2.31253542384721,2.77881927199042,4.94235645334296,0,2.3494686788929
Cissus_mirabilis,4.94235645334296,3.22286784613774,3.18221184049661,3.13983261752775,5.01130173863942,0.741937344729377,-2.30258509299405
Cissus_palmata,4.35799005684564,2.89591193827178,-0.510825623765991,2.83907846350861,4.00914971615887,0.0953101798043249,-2.30258509299405
Cissus_paullinifolia,5.59879226079857,4.12874598893943,2.57261223020711,3.26193531432865,5.13638649940182,0.993251773010283,2.09186406167839
Cissus_penninervis,4.97742315989014,3.91402100809082,1.62924053973028,?,4.94235645334296,0.470003629245736,1.1314021114911
Cissus_quadrangularis,3.97217692824789,2.31253542384721,1.96009478404727,2.77881927199042,3.8308129500026,0.182321556793955,?
Cissus_reniformis,4.94235645334296,3.91402100809082,2.45100509811232,3.40452517175483,4.60616968632117,0.470003629245736,?
Cissus_simsiana,4.70138904372863,3.26193531432865,2.02814824729229,2.89591193827178,4.60616968632117,-0.105360515657826,1.1314021114911
Cissus_sterculiifolia,4.86830338551846,3.54385368206368,?,?,4.88733707775176,1.1314021114911,1.96009478404727
